site_id,freepbx_version,asterisk_version,platform,system_ip
276,15.0.23.17,16.27.0,FreePBX,69.39.69.97
277,15.0.23.17,16.28.0,FreePBX,69.39.69.176
279,15.0.23.25,16.28.0,FreePBX,69.39.69.179
28,14.0.17,14.7.5,FreePBX,205.251.183.31
280,15.0.23.25,16.28.0,FreePBX,69.39.69.180
281,15.0.23.25,16.28.0,FreePBX,69.39.69.181
282,15.0.23.25,16.28.0,FreePBX,69.39.69.182
283,15.0.23.25,16.28.0,FreePBX,69.39.69.183
284,15.0.23.25,16.28.0,FreePBX,69.39.69.184
285,15.0.24,16.28.0,FreePBX,69.39.69.185
286,15.0.23.25,16.28.0,FreePBX,70.91.228.53
287,15.0.24,16.28.0,FreePBX,69.39.69.186
288,15.0.24,16.28.0,FreePBX,69.39.69.187
289,15.0.24,16.28.0,FreePBX,69.39.69.188
290,15.0.24,16.28.0,FreePBX,69.39.69.189
291,15.0.24,16.29.1,FreePBX,69.39.69.190
293,15.0.24,16.29.1,FreePBX,69.39.69.192
294,15.0.24,16.29.1,FreePBX,69.39.69.193
295,15.0.24,16.29.1,FreePBX,69.39.69.194
296,15.0.24,16.29.1,FreePBX,69.39.69.195
297,15.0.29,16.30.0,FreePBX,69.39.69.196
298,15.0.24,16.29.1,FreePBX,69.39.69.197
299,15.0.24,16.29.1,FreePBX,69.39.69.198
30,15.0.17,16.20.0,FreePBX,205.251.183.33
300,15.0.29,16.30.0,FreePBX,69.39.69.199
301,15.0.29,16.30.0,FreePBX,69.39.69.200
302,15.0.29,16.30.0,FreePBX,69.39.69.201
303,15.0.29,16.30.0,FreePBX,69.39.69.202
304,15.0.29,16.30.0,FreePBX,69.39.69.203
305,15.0.29,16.30.0,FreePBX,69.39.69.204
306,15.0.29,16.30.0,FreePBX,69.39.69.205
308,,,Unknown,69.39.69.97
310,15.0.29,16.30.0,FreePBX,69.39.69.208
311,15.0.29,16.30.0,FreePBX,69.39.69.209
312,15.0.29,16.30.0,FreePBX,69.39.69.210
314,15.0.29,16.30.0,FreePBX,69.39.69.212
315,15.0.29,16.30.0,FreePBX,69.39.69.213
316,15.0.29,16.28.0,FreePBX,69.39.69.214
317,15.0.29,16.30.0,FreePBX,69.39.69.215
318,15.0.37,16.28.0,FreePBX,69.39.69.216
319,15.0.37,16.28.0,FreePBX,69.39.69.217
32,14.0.13.23 ,14.7.5,FreePBX,205.251.183.35
321,15.0.37,16.28.0,FreePBX,69.39.69.219
322,FUSION,FUSION,FreePBX,69.39.69.13
323,15.0.37,16.30.0,FreePBX,69.39.69.221
324,15.0.37,16.30.0,FreePBX,69.39.69.222
325,15.0.37,16.28.0,FreePBX,69.39.69.223
326,15.0.37,16.28.0,FreePBX,69.39.69.224
329,15.0.37,16.30.0,FreePBX,69.39.69.227
33,14.0.13.23,14.7.5,FreePBX,205.251.183.36
330,15.0.37,16.30.0,FreePBX,69.39.69.229
331,15.0.37,16.30.0,FreePBX,69.39.69.220
332,15.0.37,16.30.0,FreePBX,69.39.69.230
333,15.0.37,16.30.0,FreePBX,69.39.69.231
334,15.0.37,16.30.0,FreePBX,69.39.69.232
335,15.0.37,16.30.0,FreePBX,69.39.69.233
337,FUSION,FUSION,FreePBX,69.39.69.13
338,15.0.37,16.30.0,FreePBX,69.39.69.235
339,15.0.37.1,16.30.0,FreePBX,69.39.69.236
34,15.0.17,16.15.1,FreePBX,205.251.183.37
340,15.0.37.1,16.30.0,FreePBX,69.39.69.237
341,15.0.37.1,16.30.0,FreePBX,69.39.69.238
342,15.0.37.1,16.30.0,FreePBX,69.39.69.239
343,15.0.37.1,16.30.0,FreePBX,69.39.69.240
344,15.0.37.1,16.30.0,FreePBX,69.39.69.241
345,15.0.37.1,16.30.0,FreePBX,69.39.69.242
347,15.0.37.1,16.30.0,FreePBX,69.39.69.243
348,15.0.37.1,16.30.0,FreePBX,69.39.69.244
349,15.0.24,16.29.1,FreePBX,69.39.69.35
35,14.0.13.23,14.7.8,FreePBX,205.251.183.38
350,FUSION,FUSION,FreePBX,69.39.69.13
351,15.0.37.1,16.30.0,FreePBX,69.39.69.245
352,15.0.37.1,16.30.0,FreePBX,69.39.69.246
353,15.0.37.1,16.30.0,FreePBX,69.39.69.247
355,15.0.37.1,16.30.0,FreePBX,69.39.69.249
